objectID, primaryImageSmall
435942, https://images.metmuseum.org/CRDImages/ep/web-large/57108.jpg
435943, https://images.metmuseum.org/CRDImages/ep/web-large/DP161831.jpg
435944, https://images.metmuseum.org/CRDImages/ep/web-large/DP-13588-001.jpg
435945, https://images.metmuseum.org/CRDImages/ep/web-large/DP102428.jpg
435946, https://images.metmuseum.org/CRDImages/ep/web-large/ep49.7.44.bw.R.jpg
435947, https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.103.bw.R.jpg
435948, https://images.metmuseum.org/CRDImages/ep/web-large/DP-13587-001.jpg
435949, https://images.metmuseum.org/CRDImages/ep/web-large/ep1978.301.7.bw.R.jpg
435950, https://images.metmuseum.org/CRDImages/ep/web-large/DT8871.jpg
435951, https://images.metmuseum.org/CRDImages/ep/web-large/DP365508.jpg
435952, https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.121.bw.R.jpg
435953, https://images.metmuseum.org/CRDImages/ep/web-large/EP1549.jpg
435954, https://images.metmuseum.org/CRDImages/ep/web-large/EP1548.jpg
435955, https://images.metmuseum.org/CRDImages/ep/web-large/DP365507.jpg
435956, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19432-001.jpg
435957, https://images.metmuseum.org/CRDImages/ep/web-large/ep41.190.533.bw.R.jpg
435958, https://images.metmuseum.org/CRDImages/ep/web-large/ep22.60.63.bw.R.jpg
435959, https://images.metmuseum.org/CRDImages/ep/web-large/ep30.95.286.bw.R.jpg
435960, https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.113.bw.R.jpg
435961, https://images.metmuseum.org/CRDImages/ep/web-large/DT2017.jpg
435962, https://images.metmuseum.org/CRDImages/ep/web-large/DT2013.jpg
435963, https://images.metmuseum.org/CRDImages/ep/web-large/DP-16590-001.jpg
435964, https://images.metmuseum.org/CRDImages/ep/web-large/DP-16064-001.jpg
435965, https://images.metmuseum.org/CRDImages/ep/web-large/ep29.100.598.R.jpg
435966, https://images.metmuseum.org/CRDImages/ep/web-large/DP332566.jpg
435967, https://images.metmuseum.org/CRDImages/ep/web-large/DT2014.jpg
435968, https://images.metmuseum.org/CRDImages/ep/web-large/DT225534.jpg
435969, https://images.metmuseum.org/CRDImages/ep/web-large/DP-24153-001.jpg
435970, https://images.metmuseum.org/CRDImages/ep/web-large/DT2009.jpg
435971, https://images.metmuseum.org/CRDImages/ep/web-large/DP-13143-001_cropped.jpg
435972, https://images.metmuseum.org/CRDImages/ep/web-large/DT10697.jpg
435973, https://images.metmuseum.org/CRDImages/ep/web-large/DP332568.jpg
435974, https://images.metmuseum.org/CRDImages/ep/web-large/DP332564.jpg
435975, https://images.metmuseum.org/CRDImages/ep/web-large/DP332562.jpg
435976, https://images.metmuseum.org/CRDImages/ep/web-large/DT2129.jpg
435977, https://images.metmuseum.org/CRDImages/ep/web-large/DT2008.jpg
435978, https://images.metmuseum.org/CRDImages/ep/web-large/DP-16591-001.jpg
435979, https://images.metmuseum.org/CRDImages/ep/web-large/DP-16065-001.jpg
435980, https://images.metmuseum.org/CRDImages/ep/web-large/DT872.jpg
435981, https://images.metmuseum.org/CRDImages/ep/web-large/DT2010.jpg
435983, https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-055.jpg
435984, https://images.metmuseum.org/CRDImages/ep/web-large/DP-16592-001.jpg
435985, https://images.metmuseum.org/CRDImages/ep/web-large/DT2018.jpg
435986, https://images.metmuseum.org/CRDImages/ep/web-large/DT9008.jpg
435987, https://images.metmuseum.org/CRDImages/ep/web-large/DT2139.jpg
435988, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19283-001.jpg
435989, https://images.metmuseum.org/CRDImages/ep/web-large/ep21.70.4.R.jpg
435990, https://images.metmuseum.org/CRDImages/ep/web-large/DP124091.jpg
435991, https://images.metmuseum.org/CRDImages/ep/web-large/DP-16589-001.jpg
435992, https://images.metmuseum.org/CRDImages/ep/web-large/DT2838.jpg
435993, https://images.metmuseum.org/CRDImages/ep/web-large/DP-22335-001.jpg
435994, https://images.metmuseum.org/CRDImages/ep/web-large/DT200582.jpg
435996, https://images.metmuseum.org/CRDImages/ep/web-large/57272.jpg
435997, https://images.metmuseum.org/CRDImages/ep/web-large/DT11964.jpg
435998, https://images.metmuseum.org/CRDImages/ep/web-large/DP168993.jpg
435999, https://images.metmuseum.org/CRDImages/ep/web-large/175485.jpg
436000, https://images.metmuseum.org/CRDImages/ep/web-large/DP-17408-001.jpg
436001, https://images.metmuseum.org/CRDImages/ep/web-large/DP-23236-001.jpg
436002, https://images.metmuseum.org/CRDImages/ep/web-large/DP-17680-001.jpg
436003, https://images.metmuseum.org/CRDImages/ep/web-large/DP-15681-001.jpg
436004, https://images.metmuseum.org/CRDImages/ep/web-large/DT887.jpg
436005, https://images.metmuseum.org/CRDImages/ep/web-large/DT1973.jpg
436006, https://images.metmuseum.org/CRDImages/ep/web-large/DT1965.jpg
436007, https://images.metmuseum.org/CRDImages/ep/web-large/DT1963.jpg
436008, https://images.metmuseum.org/CRDImages/ep/web-large/DT1958.jpg
436009, https://images.metmuseum.org/CRDImages/ep/web-large/DP302937.jpg
436010, https://images.metmuseum.org/CRDImages/ep/web-large/DP302942.jpg
